idx	label	count	predict	radiusR	radius_L1	radius_L2	radius_cohen	correct	time
100	2	1250000.0	2	1.09	0.926	1.09	1.1	1	0:17:21.537403
200	4	0	395	0.0	0.0	0.0	0.0	0	0:00:00.093979
300	6	1250000.0	6	1.09	0.926	1.09	1.1	1	0:17:22.156780
400	8	1250000.0	8	1.09	0.926	1.09	1.1	1	0:17:22.203441
500	10	1249797.0	10	0.884	0.857	0.884	0.885	1	0:17:21.613972
600	12	727368.0	12	0.0898	0.163	0.0703	0.0508	1	0:17:34.423405
700	14	1250000.0	14	1.09	0.926	1.09	1.1	1	0:17:21.761345
800	16	1249999.0	16	1.08	0.925	1.08	1.08	1	0:17:22.686526
900	18	856556.0	18	0.173	0.265	0.141	0.12	1	0:17:35.191264
1000	20	1249989.0	20	1.02	0.917	1.02	1.03	1	0:17:21.731336
1100	22	0	21	0.0	0.0	0.0	0.0	0	0:00:00.093992
1200	24	1250000.0	24	1.09	0.926	1.09	1.1	1	0:17:21.949956
1300	26	1211075.0	26	0.494	0.631	0.471	0.464	1	0:17:38.207186
1400	28	627122.0	28	0.00011	0.00011	0.000188	0.000198	1	0:17:41.399054
1500	30	1098195.0	30	0.36	0.442	0.309	0.291	1	0:17:35.678257
1600	32	0	103	0.0	0.0	0.0	0.0	0	0:00:00.094111
1700	34	0	327	0.0	0.0	0.0	0.0	0	0:00:00.090025
1800	36	0	35	0.0	0.0	0.0	0.0	0	0:00:00.088823
1900	38	1021937.0	38	0.298	0.388	0.242	0.226	1	0:17:34.248877
2000	40	0	31	0.0	0.0	0.0	0.0	0	0:00:00.094175
2100	42	0	48	0.0	0.0	0.0	0.0	0	0:00:00.090265
2200	44	1246349.0	44	0.685	0.682	0.685	0.685	1	0:17:22.794485
2300	46	1231379.0	46	0.542	0.54	0.541	0.541	1	0:17:22.242647
2400	48	941763.0	48	0.24	0.308	0.202	0.17	1	0:17:34.809970
2500	50	1246658.0	50	0.692	0.689	0.692	0.692	1	0:17:21.906896
2600	52	1188128.0	52	0.459	0.539	0.428	0.411	1	0:17:35.792777
2700	54	0	57	0.0	0.0	0.0	0.0	0	0:00:00.094244
