idx	label	count	predict	radius_LInf	radius_L2	radius_cohen	correct	time
1	8	3996104.0	8	0.0066756124875050485	0.37	0.37	1	0:05:43.172284
2	8	3995579.0	8	0.006585401507944169	0.365	0.366	1	0:05:44.319690
3	0	3990822.0	0	0.006116304414227599	0.339	0.339	1	0:05:44.671959
4	6	2036157.0	6	4.438380194395248e-05	0.00305	0.00249	1	0:05:59.012817
5	6	3996024.0	6	0.006657570291592872	0.369	0.369	1	0:05:44.682301
6	1	3999186.0	1	0.007595764479026014	0.421	0.421	1	0:05:45.274566
7	6	0	2	0.0	0.0	0.0	0	0:00:00.020568
8	3	3991957.0	3	0.006206515393788477	0.344	0.344	1	0:05:44.670655
9	1	3842991.0	1	0.0038610299252056224	0.214	0.211	1	0:05:50.911983
10	0	3882800.0	0	0.004167747255712611	0.231	0.226	1	0:05:51.264163
11	9	4000000.0	9	0.010013418731257573	0.555	0.557	1	0:05:45.060847
12	5	3945158.0	5	0.004835308504463116	0.268	0.264	1	0:05:52.991368
13	7	4000000.0	7	0.010013418731257573	0.555	0.557	1	0:05:44.852971
14	9	4000000.0	9	0.010013418731257573	0.555	0.557	1	0:05:44.557993
15	8	4000000.0	8	0.010013418731257573	0.555	0.557	1	0:05:44.852183
16	5	3673694.0	5	0.0032295530682794693	0.171	0.167	1	0:05:57.309394
17	7	4000000.0	7	0.010013418731257573	0.555	0.557	1	0:05:44.914473
18	8	3997282.0	8	0.006892118838451158	0.382	0.382	1	0:05:44.318170
19	6	4000000.0	6	0.010013418731257573	0.555	0.557	1	0:05:44.583240
20	7	2943288.0	7	0.0016310145104606927	0.0801	0.0754	1	0:05:56.230474
21	0	0	2	0.0	0.0	0.0	0	0:00:00.021200
22	4	0	0	0.0	0.0	0.0	0	0:00:00.020464
23	9	4000000.0	9	0.010013418731257573	0.555	0.557	1	0:05:45.059112
24	5	0	4	0.0	0.0	0.0	0	0:00:00.020565
25	2	3999812.0	2	0.008335494511425222	0.462	0.462	1	0:05:45.364298
26	4	2922549.0	4	0.0016382313888255633	0.0836	0.0735	1	0:05:56.439362
27	0	3978174.0	0	0.0055028697532136205	0.305	0.305	1	0:05:58.294978
28	9	3999933.0	9	0.008786549409229617	0.487	0.488	1	0:05:43.800073
29	6	4000000.0	6	0.010013418731257573	0.555	0.557	1	0:05:44.149674
30	6	3456976.0	6	0.0026522027990898435	0.138	0.132	1	0:05:54.864933
31	5	3999998.0	5	0.009796912380311464	0.543	0.545	1	0:05:43.758903
32	4	0	2	0.0	0.0	0.0	0	0:00:00.020957
33	5	0	3	0.0	0.0	0.0	0	0:00:00.020677
34	9	4000000.0	9	0.010013418731257573	0.555	0.557	1	0:05:44.349705
35	2	0	8	0.0	0.0	0.0	0	0:00:00.020795
36	4	3971354.0	4	0.005304405598179687	0.294	0.293	1	0:05:52.091135
37	1	0	9	0.0	0.0	0.0	0	0:00:00.021186
38	9	4000000.0	9	0.010013418731257573	0.555	0.557	1	0:05:44.228374
39	5	4000000.0	5	0.010013418731257573	0.555	0.557	1	0:05:44.159533
40	4	3999107.0	4	0.007541637891289487	0.418	0.418	1	0:05:44.266011
41	6	4000000.0	6	0.010013418731257573	0.555	0.557	1	0:05:44.754087
42	5	2120263.0	5	0.00019485571585149873	0.0103	0.00882	1	0:05:58.131223
43	6	3999996.0	6	0.009670617008926232	0.536	0.538	1	0:05:44.053076
44	0	4000000.0	0	0.010013418731257573	0.555	0.557	1	0:05:44.127847
45	9	3999999.0	9	0.009887123359872343	0.548	0.55	1	0:05:44.539968
46	3	3965175.0	3	0.0051600680308822805	0.286	0.285	1	0:05:52.128483
47	9	3658276.0	9	0.003157384284630766	0.169	0.164	1	0:05:56.491326
48	7	3999610.0	7	0.007974650593181707	0.442	0.442	1	0:05:43.679463
49	6	3979988.0	6	0.005556996340950148	0.308	0.308	1	0:05:52.431193
50	9	3999999.0	9	0.009887123359872343	0.548	0.55	1	0:05:44.589975
51	8	3996748.0	8	0.006783865662978103	0.376	0.376	1	0:05:44.030989
52	0	0	2	0.0	0.0	0.0	0	0:00:00.020879
53	3	3535211.0	3	0.0029228357377724806	0.148	0.143	1	0:05:55.601902
54	8	3999999.0	8	0.009887123359872343	0.548	0.55	1	0:05:44.245764
55	8	3999016.0	8	0.007487511303552959	0.415	0.415	1	0:05:44.512730
56	7	2217927.0	7	0.00033017218519281724	0.0182	0.0162	1	0:05:57.555966
57	7	0	5	0.0	0.0	0.0	0	0:00:00.021324
58	4	0	3	0.0	0.0	0.0	0	0:00:00.020837
59	6	0	4	0.0	0.0	0.0	0	0:00:00.020705
60	7	4000000.0	7	0.010013418731257573	0.555	0.557	1	0:05:43.952236
61	3	0	5	0.0	0.0	0.0	0	0:00:00.020792
62	6	3999966.0	6	0.009057182347912255	0.502	0.503	1	0:05:44.460372
63	3	0	9	0.0	0.0	0.0	0	0:00:00.020903
64	6	3993090.0	6	0.006296726373349356	0.349	0.35	1	0:05:44.561192
65	2	3998813.0	2	0.007379258128079904	0.409	0.409	1	0:05:44.629563
66	1	3999929.0	1	0.008768507213317442	0.486	0.486	1	0:05:43.998008
67	2	3988270.0	2	0.00593588245510584	0.329	0.33	1	0:05:44.176178
68	3	3582175.0	3	0.00301304671733336	0.155	0.15	1	0:05:55.845618
69	7	3943466.0	7	0.004799224112638765	0.266	0.263	1	0:05:51.660115
70	2	0	4	0.0	0.0	0.0	0	0:00:00.021246
71	6	3984276.0	6	0.005737418300071907	0.318	0.318	1	0:05:52.212323
72	8	3997858.0	8	0.007036456405748565	0.39	0.39	1	0:05:43.238951
73	8	4000000.0	8	0.010013418731257573	0.555	0.557	1	0:05:44.418262
74	0	3989557.0	0	0.00602609343466672	0.334	0.334	1	0:05:44.458917
75	2	3999914.0	2	0.008678296233756563	0.481	0.482	1	0:05:44.086114
76	9	2486163.0	9	0.0009490195049804474	0.0416	0.0369	1	0:05:55.369488
77	3	2861281.0	3	0.0015534330680383368	0.0747	0.068	1	0:05:54.685278
78	3	3980693.0	3	0.0055930807327745	0.31	0.31	1	0:05:51.965022
79	8	4000000.0	8	0.010013418731257573	0.555	0.557	1	0:05:43.495143
80	8	4000000.0	8	0.010013418731257573	0.555	0.557	1	0:05:44.041506
81	1	3905449.0	1	0.004312084823010018	0.239	0.238	1	0:05:46.012177
82	1	4000000.0	1	0.010013418731257573	0.555	0.557	1	0:05:44.339601
83	7	3999659.0	7	0.008046819376830409	0.446	0.446	1	0:05:44.233737
84	2	3956530.0	2	0.005015730463584875	0.278	0.275	1	0:05:51.601069
85	5	0	7	0.0	0.0	0.0	0	0:00:00.021197
86	2	3775692.0	2	0.0035723547906108097	0.198	0.19	1	0:05:50.352872
87	7	3505839.0	7	0.0029589201295968323	0.143	0.139	1	0:05:55.484810
88	8	4000000.0	8	0.010013418731257573	0.555	0.557	1	0:05:43.995910
89	9	3999996.0	9	0.009670617008926232	0.536	0.538	1	0:05:44.354654
90	0	3881071.0	0	0.00413166286388826	0.229	0.226	1	0:05:50.168782
91	3	0	6	0.0	0.0	0.0	0	0:00:00.021154
92	8	3999974.0	8	0.009147393327473134	0.507	0.508	1	0:05:43.412455
93	6	3999994.0	6	0.009580406029365354	0.531	0.533	1	0:05:43.591103
94	4	3909840.0	4	0.004456422390307424	0.247	0.24	1	0:05:51.137422
95	6	3351885.0	6	0.002435696448143734	0.123	0.118	1	0:05:56.169859
96	6	3979589.0	6	0.0055389541450379725	0.307	0.307	1	0:05:45.405788
97	0	3984909.0	0	0.005773502691896258	0.32	0.32	1	0:05:50.475970
98	0	4000000.0	0	0.010013418731257573	0.555	0.557	1	0:05:43.336944
99	7	3999868.0	7	0.008497874274634803	0.471	0.471	1	0:05:44.176353
100	4	3435405.0	4	0.002670244995002019	0.135	0.129	1	0:05:55.822447
101	5	3968766.0	5	0.005268321206355335	0.292	0.289	1	0:05:52.044877
102	6	4000000.0	6	0.010013418731257573	0.555	0.557	1	0:05:44.227018
103	3	3998703.0	3	0.007325131540343378	0.406	0.406	1	0:05:44.507256
104	1	4000000.0	1	0.010013418731257573	0.555	0.557	1	0:05:44.149327
105	1	4000000.0	1	0.010013418731257573	0.555	0.557	1	0:05:43.698380
106	3	3844559.0	3	0.0040234096884152045	0.223	0.211	1	0:05:50.565717
107	6	3998774.0	6	0.007361215932167728	0.408	0.408	1	0:05:43.909386
108	8	3990550.0	8	0.006098262218315423	0.338	0.338	1	0:05:43.571490
109	7	4000000.0	7	0.010013418731257573	0.555	0.557	1	0:05:44.003254
110	4	3728747.0	4	0.0034641016151377548	0.192	0.179	1	0:05:49.694557
111	0	4000000.0	0	0.010013418731257573	0.555	0.557	1	0:05:43.702275
112	6	3634756.0	6	0.0031934686764551177	0.164	0.16	1	0:05:55.991305
113	2	3998427.0	2	0.007216878364870323	0.4	0.4	1	0:05:44.013254
114	1	3995576.0	1	0.006585401507944169	0.365	0.366	1	0:05:44.267982
115	3	3995784.0	3	0.006621485899768521	0.367	0.367	1	0:05:44.456378
116	0	4000000.0	0	0.010013418731257573	0.555	0.557	1	0:05:44.534213
117	4	3996855.0	4	0.006801907858890279	0.377	0.377	1	0:05:44.256772
118	2	0	3	0.0	0.0	0.0	0	0:00:00.020982
119	7	2161582.0	7	0.0002147021313548921	0.0142	0.0119	1	0:05:57.071815
120	8	3972206.0	8	0.005358532185916214	0.297	0.294	1	0:05:51.282288
121	3	0	2	0.0	0.0	0.0	0	0:00:00.021297
122	1	4000000.0	1	0.010013418731257573	0.555	0.557	1	0:05:43.682273
123	2	4000000.0	2	0.010013418731257573	0.555	0.557	1	0:05:44.326401
124	8	3980467.0	8	0.0055930807327745	0.31	0.309	1	0:05:51.893631
125	0	0	2	0.0	0.0	0.0	0	0:00:00.021193
126	8	2937033.0	8	0.0017067917332918314	0.0838	0.0748	1	0:05:55.054252
127	3	3631397.0	3	0.003067173305069887	0.164	0.159	1	0:05:55.507080
128	5	0	3	0.0	0.0	0.0	0	0:00:00.021212
129	2	3988743.0	2	0.005971966846930192	0.331	0.331	1	0:05:44.002736
131	1	4000000.0	1	0.010013418731257573	0.555	0.557	1	0:05:46.313941
132	8	3999775.0	8	0.008245283531864343	0.457	0.457	1	0:05:45.412117
133	9	4000000.0	9	0.010013418731257573	0.555	0.557	1	0:05:46.176970
134	1	3993454.0	1	0.006332810765173708	0.351	0.351	1	0:05:46.745405
135	2	3999212.0	2	0.00761380667493819	0.422	0.422	1	0:05:47.032485
136	9	3999999.0	9	0.009887123359872343	0.548	0.55	1	0:05:47.082495
137	7	4000000.0	7	0.010013418731257573	0.555	0.557	1	0:05:47.197762
138	2	3941293.0	2	0.004745097524902237	0.263	0.261	1	0:05:54.112329
139	9	0	8	0.0	0.0	0.0	0	0:00:00.020822
140	6	3719994.0	6	0.003373890635576876	0.183	0.177	1	0:05:59.097330
141	5	4000000.0	5	0.010013418731257573	0.555	0.557	1	0:05:46.604105
142	6	3999768.0	6	0.008227241335952169	0.456	0.457	1	0:05:46.556478
143	3	2452439.0	3	0.000907522454382443	0.0437	0.0343	1	0:05:58.086366
144	8	3999931.0	8	0.008768507213317442	0.486	0.487	1	0:05:46.311401
145	7	3961064.0	7	0.005069857051321402	0.281	0.28	1	0:05:54.241701
146	6	3998224.0	6	0.007144709581221619	0.396	0.396	1	0:05:46.348449
147	2	3335651.0	2	0.002435696448143734	0.121	0.116	1	0:05:58.490736
148	5	3999999.0	5	0.009887123359872343	0.548	0.55	1	0:05:46.995027
149	2	3999979.0	2	0.009219562111121836	0.511	0.512	1	0:05:47.011462
150	8	3991543.0	8	0.0061704310019641264	0.342	0.342	1	0:05:46.904194
151	9	3997717.0	9	0.007000372013924213	0.388	0.388	1	0:05:47.103390
152	6	3967127.0	6	0.005196152422706632	0.288	0.287	1	0:05:54.772523
153	0	3998626.0	0	0.007289047148519026	0.404	0.405	1	0:05:46.675263
154	0	3548399.0	0	0.0029769623255090083	0.152	0.145	1	0:05:58.561949
155	5	3677821.0	5	0.0033017218519281726	0.174	0.168	1	0:05:58.593554
156	2	3999780.0	2	0.00826332572777652	0.458	0.458	1	0:05:46.283186
157	9	4000000.0	9	0.010013418731257573	0.555	0.557	1	0:05:46.898450
158	5	0	3	0.0	0.0	0.0	0	0:00:00.020589
